symptoms,label
"organizing,intrusive thoughts",OCD
"sensitive to sound,routine,literal,repetitive behavior,no facial expression",Autism
"counting,perfectionism",OCD
"monotone,delayed speech,focus on details",Autism
"irritability,fear,trembling",Anxiety
"literal,sensitive to sound,delayed speech,focus on details",Autism
"monotone,social skills,no facial expression",Autism
"restless,panic,overthinking,avoidance",Anxiety
"nervous,irritability,avoidance,fear",Anxiety
"no facial expression,social skills,routine,repetitive behavior",Autism
"checking,repetitive,counting,doubt",OCD
"perfectionism,counting",OCD
"repetitive behavior,literal,eye contact,routine,sensitive to sound",Autism
"irritability,fear",Anxiety
"monotone,sensitive to sound,social skills,delayed speech",Autism
"compulsion,repetitive,organizing",OCD
"repetitive behavior,sensitive to sound,no facial expression,delayed speech,social skills",Autism
"overthinking,trembling",Anxiety
"restless,panic,sweating",Anxiety
"restless,sweating",Anxiety
"focus on details,social skills",Autism
"fear,trembling,sweating",Anxiety
"intrusive thoughts,counting",OCD
"no facial expression,social skills,focus on details",Autism
"social skills,focus on details",Autism
"doubt,organizing,cleaning,checking",OCD
"avoidance,panic",Anxiety
"overthinking,sweating",Anxiety
"routine,eye contact,no facial expression",Autism
"fear,nervous",Anxiety
"panic,trembling,fear,nervous,restless",Anxiety
"literal,routine,sensitive to sound,focus on details,social skills",Autism
"focus on details,delayed speech",Autism
"perfectionism,ritual",OCD
"checking,compulsion,intrusive thoughts,doubt",OCD
"nervous,worry,irritability",Anxiety
"irritability,panic",Anxiety
"ritual,organizing,perfectionism",OCD
"routine,no facial expression",Autism
"intrusive thoughts,checking,doubt,repetitive",OCD
"no facial expression,repetitive behavior,delayed speech,literal,monotone",Autism
"cleaning,doubt",OCD
"worry,nervous,panic,restless,trembling",Anxiety
"repetitive,compulsion,perfectionism,ritual,doubt",OCD
"delayed speech,literal,repetitive behavior,monotone,eye contact",Autism
"no facial expression,sensitive to sound",Autism
"repetitive behavior,routine",Autism
"repetitive behavior,sensitive to sound,focus on details",Autism
"trembling,worry,nervous,avoidance,panic",Anxiety
"worry,restless,sweating,nervous,trembling",Anxiety
"ritual,doubt,compulsion",OCD
"fear,overthinking,irritability,trembling",Anxiety
"restless,worry",Anxiety
"trembling,restless,fear,avoidance",Anxiety
"monotone,literal",Autism
"doubt,ritual,compulsion,cleaning",OCD
"intrusive thoughts,organizing,cleaning,compulsion",OCD
"panic,restless",Anxiety
"compulsion,repetitive,checking,cleaning",OCD
"sensitive to sound,social skills,no facial expression",Autism
"fear,overthinking,restless,sweating,nervous",Anxiety
"repetitive,perfectionism,counting,organizing",OCD
"irritability,sweating,overthinking,worry,restless",Anxiety
"delayed speech,literal,focus on details,sensitive to sound,routine",Autism
"nervous,fear,trembling,sweating",Anxiety
"intrusive thoughts,organizing,repetitive,perfectionism,checking",OCD
"fear,overthinking,irritability,restless,nervous",Anxiety
"eye contact,routine,focus on details",Autism
"nervous,irritability,sweating,avoidance,fear",Anxiety
"eye contact,sensitive to sound,focus on details,monotone",Autism
"social skills,literal,sensitive to sound",Autism
"trembling,overthinking,panic",Anxiety
"repetitive,doubt,perfectionism,intrusive thoughts,checking",OCD
"compulsion,organizing",OCD
"eye contact,no facial expression,monotone,delayed speech,social skills",Autism
"sensitive to sound,monotone,focus on details",Autism
"counting,checking,ritual",OCD
"worry,overthinking",Anxiety
"checking,doubt,repetitive",OCD
"avoidance,sweating,overthinking,fear",Anxiety
"perfectionism,intrusive thoughts,organizing",OCD
"monotone,social skills,sensitive to sound,eye contact",Autism
"sensitive to sound,social skills,no facial expression,routine",Autism
"panic,restless,avoidance,sweating",Anxiety
"delayed speech,social skills,monotone",Autism
"irritability,panic,sweating",Anxiety
"repetitive behavior,routine,sensitive to sound,eye contact,focus on details",Autism
"restless,panic",Anxiety
"literal,eye contact,sensitive to sound",Autism
"ritual,counting",OCD
"counting,perfectionism",OCD
"worry,nervous,trembling",Anxiety
"trembling,worry,sweating,overthinking",Anxiety
"cleaning,checking,counting",OCD
"repetitive,organizing,perfectionism,ritual",OCD
"checking,intrusive thoughts",OCD
"nervous,restless",Anxiety
"avoidance,nervous,overthinking,worry",Anxiety
"checking,ritual",OCD
"worry,fear,sweating,irritability,overthinking",Anxiety
"ritual,cleaning",OCD
"fear,avoidance,trembling",Anxiety
"worry,irritability",Anxiety
"social skills,eye contact,routine,monotone",Autism
"literal,routine,focus on details,monotone",Autism
"worry,panic,sweating",Anxiety
"counting,perfectionism,organizing,compulsion,cleaning",OCD
"fear,trembling,irritability,overthinking",Anxiety
"restless,panic,overthinking,fear",Anxiety
"literal,no facial expression",Autism
"delayed speech,focus on details,sensitive to sound",Autism
"worry,restless,panic,trembling,avoidance",Anxiety
"trembling,sweating",Anxiety
"restless,sweating,panic,irritability,avoidance",Anxiety
"sensitive to sound,no facial expression,social skills",Autism
"avoidance,irritability,overthinking,trembling,worry",Anxiety
"organizing,intrusive thoughts",OCD
"focus on details,eye contact,delayed speech,sensitive to sound,repetitive behavior",Autism
"checking,compulsion,counting",OCD
"panic,overthinking,nervous,sweating,worry",Anxiety
"doubt,intrusive thoughts,organizing",OCD
"literal,social skills",Autism
"repetitive behavior,sensitive to sound,delayed speech,literal,monotone",Autism
"monotone,sensitive to sound",Autism
"cleaning,compulsion,repetitive,ritual,counting",OCD
"sensitive to sound,routine",Autism
"doubt,intrusive thoughts,ritual,counting",OCD
"cleaning,perfectionism,checking,doubt",OCD
"avoidance,panic,sweating",Anxiety
"focus on details,repetitive behavior,monotone,no facial expression",Autism
"overthinking,worry,sweating,fear,nervous",Anxiety
"trembling,overthinking,restless,panic",Anxiety
"counting,ritual",OCD
"focus on details,monotone,social skills,sensitive to sound,repetitive behavior",Autism
"literal,monotone,eye contact",Autism
"nervous,avoidance,irritability",Anxiety
"focus on details,no facial expression",Autism
"routine,social skills",Autism
"restless,trembling,avoidance,sweating",Anxiety
"eye contact,focus on details,sensitive to sound,monotone,literal",Autism
"checking,organizing,counting,doubt",OCD
"social skills,focus on details,delayed speech,eye contact,literal",Autism
"perfectionism,doubt",OCD
"counting,ritual,organizing,compulsion,checking",OCD
"compulsion,organizing",OCD
"worry,irritability",Anxiety
"sensitive to sound,focus on details,routine,social skills",Autism
"ritual,intrusive thoughts,checking",OCD
"panic,irritability",Anxiety
"sweating,restless",Anxiety
"sensitive to sound,monotone,delayed speech",Autism
"literal,delayed speech,routine",Autism
"ritual,repetitive,compulsion",OCD
"ritual,cleaning,counting,doubt",OCD
"irritability,overthinking",Anxiety
"trembling,worry,fear",Anxiety
"nervous,restless,irritability",Anxiety
"ritual,intrusive thoughts,organizing",OCD
"cleaning,compulsion",OCD
"routine,eye contact,no facial expression,social skills,monotone",Autism
"eye contact,monotone,delayed speech,routine,social skills",Autism
"trembling,irritability,nervous,panic,restless",Anxiety
"cleaning,organizing,checking,intrusive thoughts",OCD
"perfectionism,counting",OCD
"ritual,counting,compulsion,perfectionism,organizing",OCD
"trembling,nervous,worry",Anxiety
"nervous,panic,sweating,irritability",Anxiety
"worry,avoidance,restless,nervous,trembling",Anxiety
"ritual,cleaning",OCD
"ritual,checking,perfectionism,intrusive thoughts,organizing",OCD
"counting,compulsion,cleaning",OCD
"compulsion,counting,cleaning,perfectionism,checking",OCD
"doubt,counting,cleaning,organizing",OCD
"trembling,worry,overthinking",Anxiety
"no facial expression,eye contact,focus on details",Autism
"cleaning,checking",OCD
"checking,organizing",OCD
"ritual,counting,organizing",OCD
"ritual,compulsion,doubt,cleaning,organizing",OCD
"irritability,worry",Anxiety
"restless,irritability,worry",Anxiety
"perfectionism,doubt,compulsion",OCD
"organizing,ritual,doubt",OCD
"ritual,organizing",OCD
"counting,repetitive,doubt,checking",OCD
"ritual,intrusive thoughts,perfectionism",OCD
"trembling,worry",Anxiety
"panic,avoidance,sweating,irritability",Anxiety
"sensitive to sound,literal",Autism
"nervous,panic,sweating,restless",Anxiety
"social skills,delayed speech",Autism
"repetitive behavior,focus on details,literal,sensitive to sound,social skills",Autism
"sensitive to sound,literal,focus on details",Autism
"no facial expression,monotone,delayed speech,sensitive to sound,focus on details",Autism
"focus on details,social skills",Autism
"fear,nervous,trembling,panic",Anxiety
"fear,restless,overthinking,panic,avoidance",Anxiety
"eye contact,sensitive to sound,no facial expression,monotone,focus on details",Autism
"repetitive,intrusive thoughts,checking,compulsion,cleaning",OCD
"literal,sensitive to sound,eye contact",Autism
"sweating,fear,restless,overthinking",Anxiety
"focus on details,social skills,delayed speech,literal",Autism
"literal,social skills,no facial expression,focus on details",Autism
"nervous,irritability,trembling",Anxiety
"literal,social skills",Autism
"eye contact,routine,literal,social skills",Autism
"cleaning,perfectionism,repetitive,checking",OCD
"repetitive behavior,literal,focus on details",Autism
"avoidance,panic,nervous,fear",Anxiety
"nervous,overthinking",Anxiety
"counting,perfectionism,compulsion,intrusive thoughts",OCD
"perfectionism,counting",OCD
"avoidance,worry,restless,fear,panic",Anxiety
"fear,avoidance,panic,nervous",Anxiety
"intrusive thoughts,ritual,compulsion,organizing",OCD
"counting,cleaning,compulsion,ritual,checking",OCD
"cleaning,compulsion,intrusive thoughts,perfectionism,organizing",OCD
"avoidance,overthinking,nervous,irritability",Anxiety
"nervous,restless,irritability,overthinking",Anxiety
"organizing,compulsion",OCD
"ritual,repetitive",OCD
"monotone,focus on details,eye contact,delayed speech",Autism
"no facial expression,delayed speech,eye contact,focus on details",Autism
"perfectionism,checking",OCD
"repetitive,counting",OCD
"cleaning,checking,compulsion,organizing",OCD
"monotone,social skills,literal,no facial expression,delayed speech",Autism
"panic,nervous,worry,restless",Anxiety
"compulsion,repetitive",OCD
"eye contact,delayed speech,social skills",Autism
"doubt,compulsion,organizing,intrusive thoughts",OCD
"repetitive,perfectionism",OCD
"panic,irritability",Anxiety
"overthinking,sweating,nervous,trembling,restless",Anxiety
"focus on details,sensitive to sound",Autism
"fear,restless,avoidance",Anxiety
"compulsion,organizing,intrusive thoughts,repetitive",OCD
"ritual,compulsion,organizing,perfectionism",OCD
"ritual,doubt,compulsion,cleaning",OCD
"repetitive,organizing,cleaning",OCD
"repetitive behavior,literal",Autism
"perfectionism,doubt",OCD
"doubt,perfectionism",OCD
"panic,irritability",Anxiety
"organizing,perfectionism,cleaning,checking",OCD
"doubt,intrusive thoughts,cleaning,ritual,perfectionism",OCD
"delayed speech,monotone,repetitive behavior,sensitive to sound",Autism
"trembling,irritability,fear,panic,sweating",Anxiety
"trembling,fear,avoidance,sweating,irritability",Anxiety
"panic,nervous,worry,overthinking",Anxiety
"irritability,panic,avoidance",Anxiety
"social skills,literal,delayed speech,repetitive behavior,focus on details",Autism
"worry,panic,restless",Anxiety
"compulsion,cleaning,intrusive thoughts,organizing",OCD
"worry,nervous,sweating,overthinking,fear",Anxiety
"perfectionism,compulsion,doubt,cleaning",OCD
"perfectionism,compulsion",OCD
"restless,overthinking,sweating",Anxiety
"nervous,trembling,restless",Anxiety
"delayed speech,sensitive to sound",Autism
"worry,sweating,panic,avoidance",Anxiety
"perfectionism,intrusive thoughts,repetitive,compulsion,cleaning",OCD
"worry,sweating",Anxiety
"sweating,panic,overthinking,worry",Anxiety
"doubt,ritual,counting,repetitive,checking",OCD
"monotone,routine",Autism
"sweating,restless,avoidance",Anxiety
"eye contact,sensitive to sound,delayed speech",Autism
"sweating,restless,avoidance",Anxiety
"sweating,nervous,irritability,fear,avoidance",Anxiety
"literal,no facial expression,focus on details,sensitive to sound",Autism
"literal,delayed speech,eye contact,social skills,repetitive behavior",Autism
"routine,sensitive to sound,monotone",Autism
"sweating,restless,fear,overthinking,avoidance",Anxiety
"eye contact,routine,literal,monotone",Autism
"delayed speech,repetitive behavior",Autism
"perfectionism,repetitive",OCD
"counting,organizing,doubt,intrusive thoughts,repetitive",OCD
"avoidance,fear",Anxiety
"delayed speech,sensitive to sound,no facial expression,repetitive behavior",Autism
"organizing,ritual,repetitive",OCD
"avoidance,overthinking,panic,fear,restless",Anxiety
"worry,sweating",Anxiety
"sensitive to sound,repetitive behavior,social skills,no facial expression",Autism
"routine,delayed speech,sensitive to sound,eye contact",Autism
"sensitive to sound,delayed speech",Autism
"no facial expression,focus on details,eye contact,repetitive behavior,monotone",Autism
"sensitive to sound,no facial expression,eye contact,social skills",Autism
"organizing,repetitive",OCD
"eye contact,social skills,literal,sensitive to sound",Autism
"ritual,cleaning,compulsion",OCD
"restless,sweating,worry,avoidance",Anxiety
"literal,delayed speech",Autism
"repetitive behavior,focus on details",Autism
"fear,trembling,worry,irritability",Anxiety
"cleaning,counting,repetitive",OCD
"eye contact,delayed speech,routine,focus on details,no facial expression",Autism
"repetitive behavior,monotone",Autism
"avoidance,panic",Anxiety
"restless,panic,overthinking",Anxiety
"overthinking,trembling",Anxiety
"ritual,organizing,cleaning,repetitive",OCD
"trembling,irritability,worry,restless",Anxiety
"compulsion,checking",OCD
"trembling,panic,worry,overthinking,irritability",Anxiety
"monotone,delayed speech,eye contact,no facial expression,focus on details",Autism
"repetitive,compulsion,perfectionism,counting",OCD
"cleaning,repetitive",OCD
"literal,focus on details,sensitive to sound,delayed speech,routine",Autism
"social skills,eye contact",Autism
"repetitive behavior,routine",Autism
"perfectionism,organizing",OCD
"delayed speech,literal,repetitive behavior,routine,eye contact",Autism
"counting,compulsion,cleaning,doubt",OCD
"doubt,organizing",OCD
"irritability,worry,trembling",Anxiety
"intrusive thoughts,perfectionism,counting",OCD
"fear,panic,restless",Anxiety
"fear,restless,avoidance,panic",Anxiety
"intrusive thoughts,repetitive,cleaning,checking",OCD
"perfectionism,repetitive,compulsion,doubt,intrusive thoughts",OCD
"routine,literal,focus on details",Autism
"monotone,focus on details",Autism
"routine,eye contact",Autism
"routine,eye contact",Autism
"no facial expression,eye contact",Autism
"ritual,perfectionism",OCD
"overthinking,avoidance,worry,irritability",Anxiety
"delayed speech,eye contact,monotone,routine",Autism
"intrusive thoughts,doubt",OCD
"perfectionism,cleaning,doubt,counting",OCD
"perfectionism,counting",OCD
"intrusive thoughts,counting,cleaning",OCD
"delayed speech,literal,focus on details",Autism
"panic,nervous,fear,avoidance",Anxiety
"irritability,panic,trembling,avoidance",Anxiety
"delayed speech,no facial expression,eye contact",Autism
"worry,trembling",Anxiety
"avoidance,panic,trembling,restless,worry",Anxiety
"restless,trembling,worry,avoidance,fear",Anxiety
"panic,restless,fear",Anxiety
"restless,avoidance,fear,worry",Anxiety
"fear,avoidance,nervous,trembling",Anxiety
"no facial expression,sensitive to sound,monotone",Autism
"panic,worry,irritability,nervous,fear",Anxiety
"fear,restless,trembling,panic,nervous",Anxiety
"nervous,overthinking,restless,irritability",Anxiety
"counting,organizing",OCD
"repetitive behavior,eye contact,routine,no facial expression",Autism
"intrusive thoughts,cleaning,doubt",OCD
"panic,worry,avoidance",Anxiety
"repetitive,compulsion,cleaning,counting,doubt",OCD
"eye contact,sensitive to sound",Autism
"sensitive to sound,literal,focus on details",Autism
"sweating,restless",Anxiety
"perfectionism,checking,doubt,intrusive thoughts",OCD
"organizing,ritual,repetitive,perfectionism",OCD
"compulsion,perfectionism,repetitive,checking",OCD
"sensitive to sound,routine",Autism
"monotone,no facial expression,repetitive behavior,sensitive to sound",Autism
"avoidance,overthinking,fear,worry,sweating",Anxiety
"avoidance,worry,panic,overthinking,nervous",Anxiety
"doubt,organizing,intrusive thoughts,counting",OCD
"irritability,panic,overthinking,sweating",Anxiety
"perfectionism,cleaning",OCD
"routine,repetitive behavior",Autism
"no facial expression,eye contact,literal,focus on details,monotone",Autism
"routine,delayed speech,sensitive to sound,social skills",Autism
"focus on details,social skills",Autism
"nervous,avoidance,fear,restless,sweating",Anxiety
"literal,social skills",Autism
"sensitive to sound,eye contact,monotone,social skills,routine",Autism
"eye contact,social skills,delayed speech,sensitive to sound",Autism
"perfectionism,checking,cleaning",OCD
"repetitive behavior,no facial expression",Autism
"focus on details,monotone,repetitive behavior",Autism
"repetitive,counting",OCD
"counting,perfectionism,compulsion,intrusive thoughts,organizing",OCD
"ritual,repetitive",OCD
"organizing,ritual,intrusive thoughts,doubt",OCD
"overthinking,panic,worry",Anxiety
"eye contact,repetitive behavior,routine,monotone,focus on details",Autism
"compulsion,perfectionism,checking,repetitive,cleaning",OCD
"organizing,cleaning,repetitive,doubt",OCD
"restless,nervous,worry,irritability",Anxiety
"no facial expression,social skills,literal",Autism
"irritability,trembling,fear",Anxiety
"perfectionism,counting,ritual",OCD
"doubt,repetitive,compulsion,cleaning",OCD
"repetitive behavior,sensitive to sound,delayed speech,social skills,focus on details",Autism
"eye contact,focus on details,routine,monotone",Autism
"fear,restless,avoidance,worry,trembling",Anxiety
"nervous,worry,fear,trembling,avoidance",Anxiety
"cleaning,intrusive thoughts,repetitive,compulsion",OCD
"avoidance,trembling,overthinking",Anxiety
"doubt,ritual,perfectionism",OCD
"worry,fear,trembling,irritability,avoidance",Anxiety
"worry,trembling,avoidance,overthinking,panic",Anxiety
"literal,monotone",Autism
"delayed speech,social skills",Autism
"doubt,checking,compulsion,counting,ritual",OCD
"irritability,avoidance",Anxiety
"fear,worry,irritability",Anxiety
"worry,restless,panic",Anxiety
"monotone,focus on details,literal,no facial expression,routine",Autism
"irritability,sweating,trembling,overthinking",Anxiety
"cleaning,perfectionism,checking,organizing",OCD
"literal,routine,eye contact",Autism
"social skills,delayed speech,eye contact,literal",Autism
"nervous,irritability,trembling,avoidance",Anxiety
"compulsion,counting,perfectionism,organizing",OCD
"delayed speech,repetitive behavior,monotone,sensitive to sound",Autism
"repetitive behavior,monotone",Autism
"compulsion,perfectionism,ritual,intrusive thoughts,counting",OCD
"fear,sweating,nervous,worry",Anxiety
"avoidance,nervous,worry,trembling",Anxiety
"restless,nervous,worry,sweating,irritability",Anxiety
"nervous,fear,irritability",Anxiety
"focus on details,sensitive to sound,routine,eye contact,delayed speech",Autism
"routine,eye contact,literal,delayed speech,monotone",Autism
"routine,eye contact",Autism
"no facial expression,focus on details,delayed speech,literal",Autism
"organizing,doubt,compulsion,counting,intrusive thoughts",OCD
"organizing,compulsion,doubt,repetitive,perfectionism",OCD
"intrusive thoughts,doubt,perfectionism,cleaning",OCD
"counting,compulsion,checking,intrusive thoughts",OCD
"eye contact,delayed speech,repetitive behavior",Autism
"monotone,sensitive to sound,literal,delayed speech",Autism
"social skills,literal,repetitive behavior,no facial expression,eye contact",Autism
"ritual,checking,repetitive,counting,compulsion",OCD
"doubt,counting,intrusive thoughts,perfectionism,organizing",OCD
"doubt,ritual,repetitive,compulsion",OCD
"panic,trembling,restless,worry",Anxiety
"avoidance,nervous",Anxiety
"eye contact,no facial expression,monotone,social skills,repetitive behavior",Autism
"restless,panic,sweating",Anxiety
"routine,monotone,social skills,delayed speech",Autism
"irritability,restless,sweating",Anxiety
"literal,social skills,repetitive behavior",Autism
"organizing,ritual",OCD
"sensitive to sound,routine,social skills,delayed speech,repetitive behavior",Autism
"compulsion,doubt,repetitive,ritual,perfectionism",OCD
"avoidance,restless,fear,trembling",Anxiety
"cleaning,intrusive thoughts,perfectionism",OCD
"nervous,restless,trembling,worry,fear",Anxiety
"irritability,avoidance,sweating,trembling,overthinking",Anxiety
"fear,sweating,overthinking,irritability",Anxiety
"worry,panic,sweating,irritability,fear",Anxiety
"focus on details,delayed speech,routine,monotone,sensitive to sound",Autism
"fear,irritability,avoidance",Anxiety
"panic,fear,irritability",Anxiety
"repetitive,checking,organizing,perfectionism",OCD
"delayed speech,sensitive to sound",Autism
"doubt,checking,perfectionism,intrusive thoughts",OCD
"organizing,perfectionism,doubt,counting",OCD
"panic,sweating",Anxiety
"eye contact,routine,focus on details,social skills,delayed speech",Autism
"literal,social skills,sensitive to sound,eye contact,repetitive behavior",Autism
"overthinking,fear,worry,trembling,irritability",Anxiety
"social skills,focus on details,no facial expression",Autism
"trembling,worry,sweating,restless,avoidance",Anxiety
"sweating,avoidance,restless,irritability,worry",Anxiety
"doubt,cleaning,intrusive thoughts",OCD
"organizing,compulsion,doubt,counting,ritual",OCD
"nervous,irritability,overthinking,avoidance",Anxiety
"sweating,panic,avoidance",Anxiety
"nervous,panic,irritability,worry",Anxiety
"doubt,perfectionism,repetitive",OCD
"checking,counting",OCD
"nervous,restless,worry,trembling,panic",Anxiety
"worry,panic,fear,trembling,avoidance",Anxiety
"sweating,fear,trembling",Anxiety
"organizing,perfectionism,compulsion,doubt,checking",OCD
"checking,repetitive,doubt,counting",OCD
"social skills,focus on details,eye contact",Autism
"repetitive behavior,eye contact,social skills,sensitive to sound,literal",Autism
"intrusive thoughts,ritual,perfectionism,doubt,organizing",OCD
"repetitive behavior,routine,eye contact,sensitive to sound",Autism
"perfectionism,organizing",OCD
"ritual,checking,cleaning",OCD
"social skills,delayed speech,sensitive to sound",Autism
"trembling,worry",Anxiety
"sweating,panic,avoidance,nervous,irritability",Anxiety
"social skills,repetitive behavior,eye contact,routine,no facial expression",Autism
"irritability,fear,nervous,panic,sweating",Anxiety
"focus on details,delayed speech,literal",Autism
"restless,fear,avoidance",Anxiety
"avoidance,overthinking,sweating,worry,panic",Anxiety
"repetitive behavior,no facial expression,focus on details",Autism
"no facial expression,delayed speech,routine",Autism
"ritual,intrusive thoughts,perfectionism,counting",OCD
"focus on details,monotone,eye contact,social skills,repetitive behavior",Autism
"nervous,fear",Anxiety
"social skills,literal",Autism
"trembling,avoidance,fear,sweating",Anxiety
"social skills,sensitive to sound,routine,literal",Autism
"delayed speech,literal,routine,eye contact",Autism
"nervous,panic,worry,fear,trembling",Anxiety
"routine,eye contact,sensitive to sound",Autism
"cleaning,counting,doubt",OCD
"counting,repetitive,ritual,intrusive thoughts",OCD
"focus on details,sensitive to sound,routine,eye contact,no facial expression",Autism
"overthinking,sweating,fear",Anxiety
"organizing,repetitive",OCD
"social skills,focus on details,no facial expression",Autism
"organizing,cleaning",OCD
"irritability,restless,overthinking,panic,nervous",Anxiety
"focus on details,sensitive to sound,monotone,eye contact",Autism
"overthinking,fear,worry,trembling",Anxiety
"compulsion,checking,cleaning,ritual,counting",OCD
"avoidance,overthinking,restless,irritability",Anxiety
"sensitive to sound,no facial expression,social skills,eye contact",Autism
"checking,cleaning,repetitive,intrusive thoughts,perfectionism",OCD
"checking,counting,organizing,intrusive thoughts,cleaning",OCD
"monotone,no facial expression,social skills,delayed speech",Autism
"cleaning,compulsion,counting,organizing,ritual",OCD
"overthinking,irritability,worry",Anxiety
